service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,
764,1,1,1,1,1,1,1,20150223,20150614,
760,1,1,1,1,1,1,1,20150223,20150614,
749,1,1,1,1,1,1,1,20150223,20150614,
2281,1,1,1,1,1,1,1,20150223,20150614,
2280,1,1,1,1,1,1,1,20150223,20150614,
746,1,1,1,1,1,1,1,20150223,20150614,
2279,1,1,1,1,1,1,1,20150223,20150614,
2273,1,1,1,1,1,1,1,20150223,20150614,
2266,1,1,1,1,1,1,1,20150223,20150614,
2265,1,1,1,1,1,1,1,20150223,20150614,
2264,1,1,1,1,1,1,1,20150223,20150614,
2263,1,1,1,1,1,1,1,20150223,20150614,
2262,1,1,1,1,1,1,1,20150223,20150614,
2261,1,1,1,1,1,1,1,20150223,20150614,
2260,1,1,1,1,1,1,1,20150223,20150614,
2259,1,1,1,1,1,1,1,20150223,20150614,
725,1,1,1,1,1,1,1,20150223,20150614,
2258,1,1,1,1,1,1,1,20150223,20150614,
724,1,1,1,1,1,1,1,20150223,20150614,
1490,1,1,1,1,1,1,1,20150223,20150614,
2255,1,1,1,1,1,1,1,20150223,20150614,
1488,1,1,1,1,1,1,1,20150223,20150614,
1487,1,1,1,1,1,1,1,20150223,20150614,
2253,1,1,1,1,1,1,1,20150223,20150614,
718,1,1,1,1,1,1,1,20150223,20150614,
2251,1,1,1,1,1,1,1,20150223,20150614,
2249,1,1,1,1,1,1,1,20150223,20150614,
2248,1,1,1,1,1,1,1,20150223,20150614,
2247,1,1,1,1,1,1,1,20150223,20150614,
2246,1,1,1,1,1,1,1,20150223,20150614,
1479,1,1,1,1,1,1,1,20150223,20150614,
2245,1,1,1,1,1,1,1,20150223,20150614,
1478,1,1,1,1,1,1,1,20150223,20150614,
2244,1,1,1,1,1,1,1,20150223,20150614,
1477,1,1,1,1,1,1,1,20150223,20150614,
2243,1,1,1,1,1,1,1,20150223,20150614,
1476,1,1,1,1,1,1,1,20150223,20150614,
2242,1,1,1,1,1,1,1,20150223,20150614,
2241,1,1,1,1,1,1,1,20150223,20150614,
1473,1,1,1,1,1,1,1,20150223,20150614,
2239,1,1,1,1,1,1,1,20150223,20150614,
2238,1,1,1,1,1,1,1,20150223,20150614,
1471,1,1,1,1,1,1,1,20150223,20150614,
2237,1,1,1,1,1,1,1,20150223,20150614,
2236,1,1,1,1,1,1,1,20150223,20150614,
2235,1,1,1,1,1,1,1,20150223,20150614,
1467,1,1,1,1,1,1,1,20150223,20150614,
2233,1,1,1,1,1,1,1,20150223,20150614,
2232,1,1,1,1,1,1,1,20150223,20150614,
2231,1,1,1,1,1,1,1,20150223,20150614,
697,1,1,1,1,1,1,1,20150223,20150614,
1459,1,1,1,1,1,1,1,20150223,20150614,
690,1,1,1,1,1,1,1,20150223,20150614,
1457,1,1,1,1,1,1,1,20150223,20150614,
688,1,1,1,1,1,1,1,20150223,20150614,
2218,1,1,1,1,1,1,1,20150223,20150614,
